Date,PnL
2015-01-05,-90.87999999999992
2015-01-06,228.20999999999992
2015-01-07,-18.34
2015-01-08,0.0
2015-01-09,-35.95
2015-01-12,8.74
2015-01-13,0.0
2015-01-14,-87.68
2015-01-15,0.0
2015-01-16,226.69
2015-01-19,123.76
2015-01-20,0.0
2015-01-21,0.0
2015-01-22,0.0
2015-01-23,0.0
2015-01-26,0.0
2015-01-27,221.08
2015-01-28,-106.57999999999831
2015-01-29,135.66999999999834
2015-01-30,-128.73999999999913
2015-02-02,-111.00000000000087
2015-02-03,74.57
2015-02-04,-21.66
2015-02-05,-43.97
2015-02-06,39.2799999999995
2015-02-09,-146.7299999999995
2015-02-10,0.0
2015-02-11,-144.16999999999993
2015-02-12,-11.260000000000074
2015-02-13,0.0
2015-02-16,0.0
2015-02-17,0.0
2015-02-18,0.0
2015-02-23,-50.33
2015-02-24,-34.88
2015-02-25,-47.46
2015-02-26,0.0
2015-02-27,-1.92
2015-03-02,-77.13
2015-03-03,-8.109999999999998
2015-03-04,203.94
2015-03-05,24.950000000000003
2015-03-06,-70.66000000000079
2015-03-09,126.11000000000081
2015-03-10,89.89
2015-03-11,0.5899999999999999
2015-03-12,0.0
2015-03-13,-84.62999999999978
2015-03-16,72.99999999999979
2015-03-17,22.590000000000003
2015-03-18,0.0
2015-03-19,0.0
2015-03-20,0.0
2015-03-23,0.0
2015-03-24,0.0
2015-03-25,0.0
2015-03-26,0.0
2015-03-27,0.0
2015-03-30,0.0
2015-03-31,51.71
2015-04-01,0.0
2015-04-02,-29.9
2015-04-08,0.0
2015-04-09,0.0
2015-04-10,397.38
2015-04-13,0.0
2015-04-14,-30.54
2015-04-15,-64.2
2015-04-16,0.0
2015-04-17,460.78999999999996
2015-04-20,467.53
2015-04-21,0.0
2015-04-22,75.62
2015-04-23,85.61
2015-04-24,-20.71
2015-04-27,0.0
2015-04-28,0.0
2015-04-29,0.0
2015-04-30,0.0
2015-05-04,0.0
2015-05-05,578.86
2015-05-06,56.7
2015-05-07,305.65999999999997
2015-05-08,0.0
2015-05-11,-62.99
2015-05-12,425.74
2015-05-13,118.83999999999997
2015-05-14,0.0
2015-05-15,-60.64
2015-05-18,338.95
2015-05-19,0.0
2015-05-20,81.1699999999997
2015-05-21,-29.56999999999971
2015-05-22,0.0
2015-05-26,-91.88
2015-05-27,-358.39999999999964
2015-05-28,700.6499999999996
2015-05-29,-140.91
2015-06-01,0.0
2015-06-02,72.29
2015-06-03,0.0
2015-06-04,327.95
2015-06-05,-455.41999999999996
2015-06-08,-86.86
2015-06-09,-457.0599999999996
2015-06-10,306.44999999999953
2015-06-11,0.0
2015-06-12,181.48999999999998
2015-06-15,106.62000000000094
2015-06-16,-34.40000000000094
2015-06-17,0.0
2015-06-18,0.0
2015-06-19,0.0
2015-06-22,0.0
2015-06-23,0.0
2015-06-24,0.0
2015-06-25,-91.02000000000035
2015-06-26,442.1700000000004
2015-06-29,97.43
2015-06-30,0.0
2015-07-02,0.0
2015-07-03,-14.400000000000006
2015-07-06,665.42
2015-07-07,-131.2300000000009
2015-07-08,715.4200000000009
2015-07-09,0.0
2015-07-10,0.0
2015-07-13,0.0
2015-07-14,-10.239999999999995
2015-07-15,-63.76
2015-07-16,-45.7
2015-07-17,0.0
2015-07-20,-74.08
2015-07-21,0.0
2015-07-22,-91.36
2015-07-23,-89.33000000000088
2015-07-24,238.00000000000085
2015-07-27,640.0600000000001
2015-07-28,-169.2
2015-07-29,-47.91
2015-07-30,129.88000000000002
2015-07-31,-86.85
2015-08-03,0.0
2015-08-04,0.0
2015-08-05,0.0
2015-08-06,137.65999999999946
2015-08-07,54.08000000000051
2015-08-10,0.0
2015-08-11,124.42000000000172
2015-08-12,-406.54000000000235
2015-08-13,-50.99999999999942
2015-08-14,-77.01000000000002
2015-08-17,-56.43
2015-08-18,269.8800000000006
2015-08-19,70.35000000000036
2015-08-20,78.41000000000058
2015-08-21,-469.58000000000163
2015-08-24,325.49
2015-08-25,72.59
2015-08-26,47.77999999999999
2015-08-27,-31.76
2015-08-28,154.98999999999995
2015-08-31,0.0
2015-09-01,328.8700000000008
2015-09-02,-230.70000000000124
2015-09-04,-136.1199999999992
