Date,PnL
2015-09-21,-60.24999999999941
2015-09-22,101.81999999999942
2015-09-23,0.0
2015-09-24,0.0
2015-09-25,-12.349999999999412
2015-09-29,752.8199999999995
2015-09-30,-16.87
2015-10-02,0.0
2015-10-05,-10.72
2015-10-06,0.0
2015-10-07,607.8099999999993
2015-10-08,-24.889999999999272
2015-10-09,0.0
2015-10-12,23.779999999999134
2015-10-13,-147.0
2015-10-14,-197.45999999999913
2015-10-15,-42.68
2015-10-16,0.0
2015-10-19,0.0
2015-10-20,0.0
2015-10-22,-47.91
2015-10-23,262.9300000000004
2015-10-26,104.88999999999956
2015-10-27,0.0
2015-10-28,0.0
2015-10-29,0.0
2015-10-30,0.0
2015-11-02,0.0
2015-11-03,0.0
2015-11-04,0.0
2015-11-05,0.0
2015-11-06,0.0
2015-11-09,0.0
2015-11-10,0.0
2015-11-11,0.0
2015-11-12,-41.620000000000005
2015-11-13,0.0
2015-11-16,29.44000000000044
2015-11-17,300.2799999999996
2015-11-18,0.0
2015-11-19,0.0
2015-11-20,0.0
2015-11-23,0.0
2015-11-24,0.0
2015-11-25,0.0
2015-11-26,0.0
2015-11-27,0.0
2015-11-30,0.0
2015-12-01,-20.51
2015-12-02,0.0
2015-12-03,-51.85
2015-12-04,0.0
2015-12-07,0.0
2015-12-08,0.0
2015-12-09,0.0
2015-12-10,0.0
2015-12-11,0.0
2015-12-14,131.13
2015-12-15,-98.73000000000037
2015-12-16,380.5000000000004
2015-12-17,0.0
2015-12-18,-49.54
2015-12-21,-114.8099999999997
2015-12-22,-16.50000000000029
2015-12-23,29.14
2015-12-24,54.89
2015-12-28,0.0
2015-12-29,0.0
2015-12-30,0.0
2015-12-31,0.0
2016-01-04,0.0
2016-01-05,0.0
2016-01-06,0.0
2016-01-07,0.0
2016-01-08,-289.74
2016-01-11,-124.88
2016-01-12,-66.44
2016-01-13,0.0
2016-01-14,-32.0
2016-01-15,0.0
2016-01-18,-110.44
2016-01-19,69.69999999999978
2016-01-20,705.7700000000002
2016-01-21,0.0
2016-01-22,-106.06
2016-01-25,-77.26
2016-01-26,-74.44
2016-01-27,0.0
2016-01-28,5.460000000000001
2016-01-29,83.28999999999999
2016-02-01,0.0
2016-02-02,0.0
2016-02-03,-14.87
2016-02-04,99.27
2016-02-05,0.0
2016-02-11,0.0
2016-02-12,157.0
2016-02-15,-87.3
2016-02-16,0.0
2016-02-17,-310.4600000000002
2016-02-18,369.31000000000023
2016-02-19,-17.19
2016-02-22,44.34000000000101
2016-02-23,21.61999999999898
2016-02-24,0.0
2016-02-25,0.0
2016-02-26,191.6
2016-02-29,0.0
2016-03-01,99.75000000000082
2016-03-02,571.4599999999992
2016-03-03,0.0
2016-03-04,-129.2700000000002
2016-03-07,81.62000000000022
2016-03-08,0.0
2016-03-09,12.030000000000003
2016-03-10,-41.82
2016-03-11,-18.450000000000294
2016-03-14,177.1500000000003
2016-03-15,0.0
2016-03-16,-17.0
2016-03-17,0.0
2016-03-18,-167.46000000000015
2016-03-21,145.58000000000015
2016-03-22,0.0
2016-03-23,0.0
2016-03-24,0.0
2016-03-29,0.0
2016-03-30,214.92000000000002
2016-03-31,-9.24
2016-04-01,0.0
2016-04-05,0.0
2016-04-06,-26.93
2016-04-07,0.0
2016-04-08,219.77
2016-04-11,-22.57
2016-04-12,-202.16000000000042
2016-04-13,820.25
2016-04-14,-151.6399999999997
2016-04-15,0.0
2016-04-18,-113.15999999999985
2016-04-19,89.64000000000043
2016-04-20,61.99999999999942
2016-04-21,-49.04
2016-04-22,-2.13
2016-04-25,0.0
2016-04-26,-32.19
2016-04-27,-8.27
2016-04-28,0.0
2016-04-29,0.0
2016-05-03,0.0
2016-05-04,0.0
2016-05-05,0.0
2016-05-06,0.0
2016-05-09,0.0
2016-05-10,-54.160000000000004
2016-05-11,0.0
2016-05-12,0.0
2016-05-13,0.0
2016-05-16,-97.47999999999912
2016-05-17,65.20999999999913
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,-139.72000000000037
2016-05-23,-64.99999999999963
2016-05-24,-74.6899999999992
2016-05-25,368.2199999999992
2016-05-26,-20.29000000000086
2016-05-27,-40.87999999999913
2016-05-30,-34.92
2016-05-31,227.81
2016-06-01,-0.19
2016-06-02,-7.820000000000583
2016-06-03,63.91000000000058
2016-06-06,-23.669999999999277
2016-06-07,174.01999999999927
2016-06-08,-36.12
